agent,model,runtime,task,run_id,category,reasoning
mini_swe_sdk,gpt-5-mini,node,express-openapi-clean_architecture,run_0,server_startup_failure,"The server crashes immediately on startup with a SyntaxError in /repository/index.js (invalid/unexpected token in a template literal), so none of the API endpoints can be exercised and all tests fail as a result."
mini_swe_sdk,gpt-5-mini,node,express-openapi-clean_architecture,run_2,logic_error,"The server starts, but most authenticated endpoints return 401, indicating broken auth logic (e.g., incorrect Authorization header parsing/format, JWT verification, or user lookup from token). Additionally, several read endpoints return 200/422 with many assertion failures, suggesting route behavior/validation (e.g., slug handling) is implemented but incorrect rather than missing."
mini_swe_sdk,gpt-5-mini,node,express-openapi-clean_architecture-postgres,run_0,logic_error,"The server starts and responds to /api/health-check with 200, so this is not a startup or missing-endpoint issue. The failing test is specifically Update Article PUT returning 422, indicating the endpoint exists but rejects valid input or applies incorrect validation/authorization/update logic."
mini_swe_sdk,gpt-5-mini,node,express-openapi-clean_architecture-postgres,run_1,server_startup_failure,"The server never starts because the required entry script ./run.sh is missing at runtime (log: ""./run.sh: not found""), and the verifier indicates no files were actually applied (""No files found in patch""), so the implementation was not present for tests to hit any endpoints."
mini_swe_sdk,gpt-5-mini,node,express-openapi-clean_architecture-postgres,run_2,server_startup_failure,"The server crashes on startup with a SyntaxError in /repository/index.js (invalid/unexpected token in a template literal), so none of the API endpoints can be exercised and all tests fail as a result."
mini_swe_sdk,gpt-5-mini,node,express-openapi-clean_architecture-postgres-sequelize,run_0,incomplete_implementation,"The server starts successfully, but many required RealWorld endpoints return 404 (e.g., /user, user update, multiple article/comment/favorite routes), indicating the API surface was not fully implemented or not mounted at the expected paths (likely only under /api)."
mini_swe_sdk,gpt-5-mini,node,express-openapi-clean_architecture-postgres-sequelize,run_1,server_startup_failure,"The server crashes on startup due to a JavaScript SyntaxError in src/repositories/articleRepository.js (invalid/unexpected token at a template literal line), preventing the API from running and causing all endpoint tests to fail."
mini_swe_sdk,gpt-5-mini,node,express-openapi-clean_architecture-postgres-sequelize,run_2,logic_error,"The server starts successfully, and the failing tests show many 200 responses with assertion failures plus multiple 422s, indicating endpoints exist but return incorrect status codes/behavior (e.g., validation/auth/article/comment logic) rather than being missing or the server failing to boot."
mini_swe_sdk,gpt-5-mini,node,express-openapi-clean_architecture-sqlite,run_0,server_startup_failure,"The server crashes on startup with a SyntaxError in repository/db.js at a template-literal CREATE TABLE statement, preventing the app from booting. As a result, all API tests fail because no endpoints are reachable."
mini_swe_sdk,gpt-5-mini,node,express-openapi-clean_architecture-sqlite,run_1,server_startup_failure,"The server crashes immediately on startup with a SyntaxError in src/lib/db.js (invalid/unexpected token at a template literal), so no endpoints are reachable and all API tests fail as a consequence."
mini_swe_sdk,gpt-5-mini,node,express-openapi-clean_architecture-sqlite,run_2,server_startup_failure,"The server crashes immediately with a SyntaxError in /repository/index.js (an unexpected leading backslash), so it never starts and all API tests fail. This is a startup/entrypoint code syntax issue rather than missing endpoints or response/logic problems."
mini_swe_sdk,gpt-5-mini,node,express-openapi-clean_architecture-sqlite-sequelize,run_0,logic_error,"The server starts and most routes exist, but core article flows fail with 422/500 due to incorrect runtime behavior—specifically a Sequelize/SQLite insert error during Tag.findOrCreate in articleRepository, causing Create Article to 500 and cascading failures for slug-based reads, favorites, and comments."
mini_swe_sdk,gpt-5-mini,node,express-openapi-clean_architecture-sqlite-sequelize,run_1,incomplete_implementation,"The server starts (log shows it listening on port 3000), but every tested endpoint returns 404, indicating the API routes were not correctly registered/mounted or the implemented route paths don’t match the required spec (e.g., missing /api prefix or routes not exported/loaded). This reflects an incomplete or non-functional API surface rather than a startup issue."
mini_swe_sdk,gpt-5-mini,node,express-openapi-clean_architecture-sqlite-sequelize,run_2,incomplete_implementation,"The server starts successfully (health-check works and logs show it listening), but key required endpoints like GET /api/user and PUT /api/user return 404, indicating routes/controllers for core user functionality are missing or not wired. Additionally, the favorite article test failure suggests the articles/favorites feature is only partially implemented."
mini_swe_sdk,gpt-5-mini,node,express-openapi-postgres,run_2,logic_error,"The server starts and endpoints are present, but requests fail with Postgres runtime errors (""operator does not exist: text = integer""), indicating incorrect query logic/parameter typing (e.g., comparing a TEXT column like username/slug to an integer id) that triggers 500s across article/user update and listing filters."
mini_swe_sdk,gpt-5-mini,node,express-openapi-sqlite,run_0,logic_error,"The server starts successfully, but multiple GET /articles variants and /articles/feed fail (feed returns 422 and others have assertion failures), indicating the endpoints exist yet implement incorrect query/auth/filter logic (e.g., feed requiring auth but returning validation error, and article listing filters/favorited/tag/author behavior not matching the RealWorld spec)."
mini_swe_sdk,gpt-5-mini,node,express-openapi-sqlite,run_1,logic_error,"The server starts and endpoints exist, but specific article listing queries crash with SQLITE_ERROR due to an incorrect SQL statement referencing a non-existent column (f.user_id) in the favorites join/subquery, causing 500s for tag and favorited-by filters."
mini_swe_sdk,gpt-5-mini,node,express-openapi-sqlite-sequelize,run_2,logic_error,"The server starts successfully and the failing tests are all for Articles GET variants (filters by author/tag/favorited and auth/no-auth), indicating the endpoints likely exist but return incorrect results due to query/filtering/serialization logic (e.g., missing joins for author/favorites, incorrect where clauses, or wrong response shape for article lists). This is not a startup or missing-endpoint issue since the server runs and only a specific functional area fails."
mini_swe_sdk,gpt-5-mini,node,express-openapi-unconstrained,run_0,logic_error,"The server starts successfully, but the implemented article/comment GET handlers return stubbed empty arrays or placeholder data and ignore required query behaviors (author/tag/favorited filtering, pagination, and proper article/comment retrieval), causing all GET-related tests to fail despite endpoints existing."
mini_swe_sdk,gpt-5-mini,node,express-openapi-unconstrained,run_1,server_startup_failure,"The server crashes on startup due to an invalid Express route pattern `app.use('/api/*', ...)`, which triggers a path-to-regexp `Missing parameter name` error. Because the process exits immediately, all API tests fail."
mini_swe_sdk,gpt-5-mini,node,express-openapi-unconstrained,run_2,logic_error,"The server starts successfully, but all article-listing GET tests fail, indicating the /api/articles behavior is incorrect (e.g., filtering by author/tag/favorited, auth-dependent fields like favorited/following, or response contents/status) rather than missing routes or startup issues."
mini_swe_sdk,gpt-5-mini,node,fastify-openapi-clean_architecture,run_0,logic_error,"The server starts and endpoints exist, but key state-changing behaviors (favorite/unfavorite article and unfollow profile) return 400 and favorited-articles queries fail, indicating incorrect request handling/auth/state mutation logic rather than missing routes or response schema formatting."
mini_swe_sdk,gpt-5-mini,node,fastify-openapi-clean_architecture,run_1,logic_error,"The server appears to start and most of the API surface exists, but multiple tests fail with 400 responses on specific state-changing endpoints (favorite/unfavorite, unfollow) and incorrect behavior on favorited-articles listing, indicating the request handling/business rules for favorites/follows are implemented incorrectly rather than missing endpoints or schema formatting."
mini_swe_sdk,gpt-5-mini,node,fastify-openapi-clean_architecture,run_2,logic_error,"The server appears to start and the relevant endpoints exist, but core behaviors for favorites and follow/unfollow are incorrect (tests expect 200/400 patterns and specific state changes). The in-memory implementations likely mishandle auth/ownership checks or the favorite/follow state transitions, causing wrong status codes and failing assertions rather than missing routes or startup issues."
mini_swe_sdk,gpt-5-mini,node,fastify-openapi-clean_architecture-postgres,run_0,server_startup_failure,"The server crashes immediately with `Error: Cannot find module 'fastify'`, indicating dependencies were not installed/declared in a way the runner uses, so the API never starts and all endpoint tests fail as a result."
mini_swe_sdk,gpt-5-mini,node,fastify-openapi-clean_architecture-postgres,run_1,incomplete_implementation,"The server starts and receives requests, but nearly all required RealWorld endpoints are not registered (Fastify logs show 'Route ... not found' and tests return 404). This indicates the agent created only a minimal skeleton/health-check and did not implement the API surface (users, profiles, articles, tags, comments, favorites)."
mini_swe_sdk,gpt-5-mini,node,fastify-openapi-clean_architecture-postgres,run_2,server_startup_failure,"The server crashes on startup with a SyntaxError in /repository/db/init.js (invalid/unexpected token in a template literal), so no endpoints are reachable and all API tests fail as a consequence."
mini_swe_sdk,gpt-5-mini,node,fastify-openapi-clean_architecture-postgres-sequelize,run_0,logic_error,"The server starts and routes exist, but several DELETE/POST endpoints return 400 due to Fastify rejecting empty JSON bodies (FST_ERR_CTP_EMPTY_JSON_BODY), indicating incorrect request parsing/validation behavior for endpoints that should accept no body (e.g., unfollow/unfavorite). Additionally, favoriting-related list tests failing suggests incorrect favorited filtering/favorite state logic rather than missing endpoints."
mini_swe_sdk,gpt-5-mini,node,fastify-openapi-clean_architecture-postgres-sequelize,run_1,incomplete_implementation,"The server starts and receives requests, but nearly all required RealWorld endpoints under /api return 404 ('Route ... not found'), indicating the agent scaffolded files but did not actually register/implement the API routes. A few DELETE requests return Fastify's empty JSON body 400, further showing missing/incorrect route handling rather than schema/logic issues."
mini_swe_sdk,gpt-5-mini,node,fastify-openapi-clean_architecture-postgres-sequelize,run_2,logic_error,"The server starts successfully, but multiple favorite/unfavorite and unfollow-related tests fail with 400/200 mismatches, indicating the endpoints exist yet implement incorrect request validation or business rules (e.g., auth handling, state transitions, or response codes) rather than missing routes or startup issues."
