agent,model,runtime,task,run_id,category,reasoning
mini_swe_sdk,minimax-m2.5,node,express-openapi-clean_architecture-postgres,run_0,logic_error,"The server starts and routes exist, but core article operations crash due to incorrect Postgres schema/queries: the code references an articles.""tagList"" column that was never created (likely should be tag_list or a join table), causing 500s and cascading 422s. Additionally, user endpoints return 404, indicating routing/auth logic mismatches rather than startup failure."
mini_swe_sdk,minimax-m2.5,node,express-openapi-clean_architecture-postgres,run_1,server_startup_failure,"The server never starts in the evaluation environment: npm cannot find /root/package.json and Node cannot find /root/src/index.js (MODULE_NOT_FOUND). This indicates the entrypoint/working-directory or file placement is wrong, causing all API tests to fail due to the backend not running."
mini_swe_sdk,minimax-m2.5,node,express-openapi-clean_architecture-postgres,run_2,logic_error,"The server starts and most endpoints work, but the Unfavorite Article DELETE returns 422 across tests, indicating incorrect business logic/authorization/state handling for that endpoint rather than missing routes or a response schema mismatch."
mini_swe_sdk,minimax-m2.5,node,express-openapi-clean_architecture-postgres-sequelize,run_0,server_startup_failure,"The server fails to start in the test environment because the runtime cannot find /root/package.json and then cannot find the entry point /root/src/index.js (MODULE_NOT_FOUND). This indicates the project files/working directory expected by run.sh are missing or mislocated, causing all API tests to fail due to the server not running."
mini_swe_sdk,minimax-m2.5,node,express-openapi-clean_architecture-postgres-sequelize,run_1,server_startup_failure,"The server fails to start in the evaluation environment because the startup script runs in /root where package.json and src/index.js are not found (ENOENT and MODULE_NOT_FOUND). With the backend not running, all API tests fail."
mini_swe_sdk,minimax-m2.5,node,express-openapi-clean_architecture-postgres-sequelize,run_2,server_startup_failure,"Server logs show npm cannot find /root/package.json and Node cannot find /root/src/index.js (MODULE_NOT_FOUND), so the server never starts in the evaluation environment. This causes all API tests to fail due to the app not being runnable from the expected working directory/entrypoint."
mini_swe_sdk,minimax-m2.5,node,express-openapi-clean_architecture-sqlite,run_0,server_startup_failure,"Although the agent locally exercised endpoints, the server log shows a fatal SQLite error (SQLITE_CANTOPEN: unable to open database file), which would prevent the API from reliably starting/serving requests in the test environment. This kind of DB path/permissions misconfiguration causes broad request failures across all endpoints."
mini_swe_sdk,minimax-m2.5,node,express-openapi-clean_architecture-sqlite,run_1,server_startup_failure,"Although the server sometimes starts, it crashes with an unhandled SQLite error (SQLITE_CANTOPEN: unable to open database file), preventing the API from reliably serving requests; this would cause widespread test failures. The logs also show EADDRINUSE from repeated starts, indicating unstable startup behavior during testing."
mini_swe_sdk,minimax-m2.5,node,express-openapi-clean_architecture-sqlite-sequelize,run_2,logic_error,"The server starts and most endpoints work, but the specific feature ""GET /api/articles?favorited=:username"" (with and without auth) fails all tests, indicating incorrect favorited-by-username filtering and/or favorited/favoritesCount computation rather than missing routes or response shape issues."
mini_swe_sdk,minimax-m2.5,node,express-openapi-postgres,run_0,logic_error,"The server starts and most endpoints work, but the Favorite Article POST test fails, indicating the endpoint exists yet behaves incorrectly (e.g., not toggling favorited/favoritesCount correctly, mishandling auth/user association, or returning the wrong status/body for favoriting). This is a behavioral bug rather than a missing route or startup issue."
mini_swe_sdk,minimax-m2.5,node,express-openapi-postgres,run_1,server_startup_failure,"Server logs show npm cannot find /root/package.json and Node cannot find /root/index.js, so the service never starts in the evaluator environment. This causes all API tests to fail due to connection/startup issues rather than endpoint logic."
mini_swe_sdk,minimax-m2.5,node,express-openapi-postgres-sequelize,run_1,logic_error,"The server starts and core endpoints work in manual curls, but multiple article-listing variants (by author/tag/favorited) and profile validation tests fail, indicating incorrect query/filtering and/or auth-dependent behavior rather than missing routes or startup issues."
mini_swe_sdk,minimax-m2.5,node,express-openapi-sqlite,run_0,logic_error,"The server starts and core endpoints work, but the specific feature ""GET /api/articles?favorited=:username"" (with and without auth) fails all tests, indicating incorrect favorited-by-username filtering/join logic rather than missing routes or response schema issues."
mini_swe_sdk,minimax-m2.5,node,fastify-openapi-clean_architecture,run_0,logic_error,"The server starts and endpoints exist, but favoriting fails because the POST /favorite handler (or Fastify config) incorrectly requires a JSON body when the spec sends an empty body with Content-Type: application/json, causing Fastify's empty-body JSON parser error (400). The favorited-by filter endpoints return 200 but likely implement incorrect filtering semantics, leading to test assertion failures despite successful status codes."
