agent,model,runtime,task,run_id,category,reasoning
mini_swe_sdk,gpt-5.4,node,fastify-openapi-clean_architecture,run_0,logic_error,"The server starts and endpoints exist, but the favorites-related behaviors fail: POST /articles/:slug/favorite returns 400 and listing favorited articles by username fails, indicating broken favorite/unfavorite state handling or query filtering rather than missing routes or startup issues."
mini_swe_sdk,gpt-5.4,node,fastify-openapi-clean_architecture-postgres,run_2,server_startup_failure,"The server never started because the required entry command ./run.sh was missing (log: ""./run.sh: not found""), and the verifier found no files in the patch, indicating the agent’s attempted implementation was rejected and not applied."
mini_swe_sdk,gpt-5.4,node,express-openapi-sqlite,run_2,logic_error,"The server starts successfully and the failing tests are all for Articles GET variants (filters by author/tag/favorited and auth/non-auth), indicating the endpoints likely exist but return incorrect results due to broken query/filter logic or incorrect handling of auth-dependent fields like favorited/favoritesCount."
mini_swe_sdk,gpt-5.4,node,fastify-openapi-clean_architecture-postgres-sequelize,run_2,logic_error,"The server starts and endpoints exist, but key state-changing actions (favorite/unfavorite article and unfollow profile) are returning 422 where tests expect success, indicating incorrect business logic/authorization checks or relationship handling rather than missing routes or startup issues."
mini_swe_sdk,gpt-5.4,node,fastify-openapi-clean_architecture,run_1,logic_error,"The server starts and implements the endpoints, but the favorites behavior is incorrect: POST /articles/:slug/favorite returns 400 and the favorited-by-username listing endpoints fail, indicating broken favorite/unfavorite state handling and/or incorrect query logic for filtering articles by users who favorited them."
mini_swe_sdk,gpt-5.4,node,fastify-openapi-clean_architecture-postgres,run_0,premature_termination,"The agent generated a large code dump but then immediately issued the completion command without running the server or tests and without iterating on the many failing article/favorite/follow endpoints. The resulting implementation was left in a non-working state, leading to widespread test failures."
mini_swe_sdk,gpt-5.4,node,fastify-openapi-clean_architecture,run_2,server_startup_failure,"The server never starts because the required entry script ./run.sh is missing (log: ""./run.sh: not found""), and the verifier shows no files were actually applied (""No files found in patch""), so all API tests fail due to inability to connect."
mini_swe_sdk,gpt-5.4,node,fastify-openapi-clean_architecture-sqlite,run_0,logic_error,"The server starts and routes exist, but key state-changing operations (favorite/unfavorite articles and unfollow profiles) are returning 500s and favorited-articles queries fail assertions, indicating broken business logic/DB interactions rather than missing endpoints or startup issues."
mini_swe_sdk,gpt-5.4,node,fastify-openapi-clean_architecture-sqlite,run_1,server_startup_failure,"All tests failed and the server log shows `./run.sh: not found`, indicating the harness could not start the server at all (missing/incorrect entrypoint script). Even though the agent created a run.sh later, the reported failure is dominated by the server not starting in the test environment."
mini_swe_sdk,gpt-5.4,node,fastify-openapi-clean_architecture-postgres-sequelize,run_0,server_startup_failure,"The server never started because the required entry script ./run.sh was not created/committed (server log: ""./run.sh: not found""), and the verifier also found no patched files at all. As a result, all API tests failed due to inability to launch/connect to the backend."
mini_swe_sdk,gpt-5.4,node,fastify-openapi-clean_architecture-sqlite-sequelize,run_1,logic_error,"The server starts and endpoints exist, but multiple favorite/unfavorite and unfollow operations return 400 where tests expect 200, indicating incorrect request handling/authorization/state mutation logic rather than missing routes or startup issues."
mini_swe_sdk,gpt-5.4,node,express-openapi-clean_architecture,run_0,logic_error,"The server starts successfully and the Articles endpoints exist, but all GET-based article listing tests fail, indicating the implementation’s query/filter/auth-dependent behavior (e.g., author/tag/favorited filtering, pagination, or auth-sensitive fields like favorited/following) does not match the RealWorld spec rather than missing routes or malformed JSON."
mini_swe_sdk,gpt-5.4,node,fastify-openapi-clean_architecture-sqlite,run_2,logic_error,"The server starts and most endpoints exist, but multiple favorite/unfavorite and unfollow operations return 400 instead of the expected success codes, indicating incorrect request handling/state mutation (e.g., auth parsing, relationship/favorite toggling, or validation) rather than missing routes or response-shape issues."
mini_swe_sdk,gpt-5.4,node,express-openapi-sqlite,run_0,logic_error,"The server starts successfully and the failing tests are all specific article listing variants (all articles, by author, by tag, favorited), indicating the endpoints exist but the query/filtering logic for these GET /articles cases is incorrect (e.g., wrong SQL joins/where clauses or missing handling of author/tag/favorited parameters), rather than a startup or missing-route problem."
mini_swe_sdk,gpt-5.4,node,fastify-openapi-clean_architecture-postgres,run_1,logic_error,"The server appears to start (run.sh times out because the web server keeps running) and endpoints exist, but many article/profile favorite/unfavorite/unfollow behaviors fail with 422/200 mismatches, indicating incorrect request validation/state mutation logic rather than missing routes or startup issues."
mini_swe_sdk,gpt-5.4,node,express-openapi-clean_architecture-postgres,run_0,logic_error,"The server starts and the relevant GET /articles endpoints exist, but all article-list related tests fail, indicating incorrect behavior in listing logic (e.g., filtering by author/tag/favorited, auth-dependent fields, or response content) rather than missing routes or startup issues. The agent only made a superficial schema tweak (removing body from list items) and then terminated without validating/fixing the underlying list/query logic."
mini_swe_sdk,gpt-5.4,node,fastify-openapi-clean_architecture-sqlite-sequelize,run_2,logic_error,"The server starts and the relevant favorite endpoints exist, but the tests for favoriting and listing favorited articles fail with incorrect behavior (POST /favorite returning 400 and favorited-by-username queries not matching expected results). This points to broken favorite/unfavorite and/or favorited-feed logic (e.g., auth handling, join/query conditions, or response computation), not missing routes or startup issues."
mini_swe_sdk,gpt-5.4,node,express-openapi-sqlite,run_1,logic_error,"The server starts successfully and core CRUD flows work in a smoke test, but multiple GET /articles list variants (all, by author, by tag, favorited, with/without auth) fail, indicating incorrect query/filtering/pagination or auth-conditional fields logic rather than missing endpoints or startup issues."
mini_swe_sdk,gpt-5.4,node,fastify-openapi-postgres,run_0,logic_error,"The server starts and endpoints exist, but multiple favorite/unfavorite and follow/unfollow tests fail with 400s, indicating incorrect request handling/business logic (e.g., auth/lookup/state transitions) rather than missing routes or response schema formatting."
mini_swe_sdk,gpt-5.4,node,fastify-openapi-sqlite,run_2,logic_error,"The server starts and implements the relevant endpoints, but key behaviors are incorrect: favoriting/unfavoriting and unfollow operations are returning 400s and article listing queries fail, indicating broken request handling/state mutation rather than missing routes or startup issues."
mini_swe_sdk,gpt-5.4,node,fastify-openapi-postgres,run_2,logic_error,"The server starts and endpoints exist, but core behaviors for favorites/unfavorites and unfollow are incorrect, causing 400s and wrong favorited-articles queries. This points to broken state mutation/lookup logic (e.g., relationship tables, auth/user resolution, or query conditions) rather than missing routes or response schema."
mini_swe_sdk,gpt-5.4,node,fastify-openapi-sqlite-sequelize,run_1,logic_error,"The server appears to start and most endpoints likely exist, but the favorites-related tests fail with 400/incorrect 200 behavior, indicating the favorite/unfavorite and favorited-by-user logic (auth handling, slug lookup, join tables, or response fields like favorited/favoritesCount) is implemented incorrectly rather than missing entirely."
mini_swe_sdk,gpt-5.4,node,fastify-openapi-sqlite-sequelize,run_0,logic_error,"The server starts and endpoints exist, but the favorites-related tests fail with incorrect status codes/behavior (e.g., POST /favorite returning 400 instead of expected success), indicating broken favorite/unfavorite logic or auth/validation handling rather than missing routes or schema shape issues."
mini_swe_sdk,gpt-5.4,node,fastify-openapi-sqlite,run_1,server_startup_failure,"All tests failed and the server log shows `./run.sh: not found`, indicating the harness could not start the server via the required entrypoint. Even though the agent created a run.sh during its session, it was not present/accessible when the evaluator attempted to run it, so the API never came up."
mini_swe_sdk,gpt-5.4,node,fastify-openapi-postgres-sequelize,run_1,logic_error,"The server starts and endpoints exist, but key behaviors around favorites and follows are incorrect, causing 400s and wrong favorited-articles responses. This points to broken request handling/authorization/state mutation logic (e.g., slug lookup, auth parsing, or follow/favorite relationship operations) rather than missing routes or response schema."
mini_swe_sdk,gpt-5.4,node,fastify-openapi-unconstrained,run_0,logic_error,"The server starts and the relevant endpoints exist, but the favorites behavior is incorrect: favoriting returns 400 and listing favorited articles by username fails, indicating broken state/lookup logic around favorites (e.g., favoritedBy handling or filtering by favorited user) rather than missing routes or response schema."
