agent,model,runtime,task,run_id,subcategory,reasoning
mini_swe_sdk,minimax-m2.5,node,fastify-openapi-clean_architecture-sqlite,run_2,framework_idiosyncrasy,"Fastify rejects requests with Content-Type: application/json when the body is empty (FST_ERR_CTP_EMPTY_JSON_BODY), causing POST /api/articles/:slug/favorite to return 400. This framework-specific parsing behavior breaks favoriting and cascades into failures for favorited=username filtering tests."
mini_swe_sdk,minimax-m2.5,node,fastify-openapi-clean_architecture,run_0,framework_idiosyncrasy,"Fastify’s default JSON content-type parser rejects requests with `Content-Type: application/json` and an empty body, producing `FST_ERR_CTP_EMPTY_JSON_BODY` (400) on POST /favorite even though the spec sends an empty JSON body. This framework-specific parsing behavior is the upstream cause of the favoriting failures and cascades into downstream favorited-filter assertions."
mini_swe_sdk,minimax-m2.5,node,fastify-openapi-clean_architecture,run_2,framework_idiosyncrasy,"Fastify’s default JSON content-type parser rejects requests with Content-Type: application/json and an empty body (FST_ERR_CTP_EMPTY_JSON_BODY), causing POST /api/articles/:slug/favorite to return 400 even though the route should accept an empty payload; downstream favoriting-related tests fail as a cascade."
mini_swe_sdk,minimax-m2.5,node,express-openapi-sqlite,run_0,incorrect_query_logic,"The only failing behavior is filtering articles by `favorited=:username`, which requires a correct join between articles, favorites, and users; auth and other endpoints work, so the root cause is incorrect SQL/join/filter logic for the favorited-by-username query."
mini_swe_sdk,minimax-m2.5,node,express-openapi-clean_architecture-sqlite-sequelize,run_2,incorrect_query_logic,"The only failing feature is GET /api/articles?favorited=:username, which indicates the Sequelize query used to filter articles by a user who favorited them (and/or compute favoritesCount/favorited) is incorrect—likely missing/incorrect join/where on the favorites association or filtering by the wrong user field—while the server, routes, and auth otherwise work."
mini_swe_sdk,minimax-m2.5,node,fastify-openapi-clean_architecture-postgres,run_2,framework_idiosyncrasy,"Fastify is rejecting the bodyless POST /api/articles/:slug/favorite request when the client sends Content-Type: application/json with an empty body, triggering FST_ERR_CTP_EMPTY_JSON_BODY (400). This framework-specific content-type parser behavior prevents the favorite action from reaching business logic and causes the downstream favorited-articles tests to fail."
mini_swe_sdk,minimax-m2.5,node,fastify-openapi-clean_architecture-postgres,run_0,incorrect_query_logic,"The dominant failures are repeated 500s on GET /api/articles with filters (author/tag/favorited), indicating the article repository/service builds invalid or incorrect SQL for these query parameters. The Fastify empty JSON body error on POST /favorite is real but secondary; it causes 400s only on that endpoint, while the core suite failures are the broken filtered article queries."
mini_swe_sdk,minimax-m2.5,node,fastify-openapi-clean_architecture-sqlite-sequelize,run_2,framework_idiosyncrasy,"The primary failure is Fastify’s default JSON content-type parser rejecting requests with `Content-Type: application/json` but an empty body, producing `FST_ERR_CTP_EMPTY_JSON_BODY` and 400s on the favorite endpoint; this upstream framework behavior causes the bulk of test failures."
mini_swe_sdk,minimax-m2.5,node,fastify-openapi-clean_architecture-postgres-sequelize,run_1,framework_idiosyncrasy,"Fastify’s default JSON content-type parser rejects requests with `Content-Type: application/json` and an empty body, producing `FST_ERR_CTP_EMPTY_JSON_BODY` and 400s on `POST /api/articles/:slug/favorite` (which should accept an empty body per spec/tests). This upstream framework behavior prevents favoriting from succeeding and cascades into failures for favorited-articles listing expectations."
mini_swe_sdk,minimax-m2.5,node,express-openapi-postgres,run_0,business_logic_defect,"The Favorite Article POST endpoint exists and the server/auth flow works, but the favoriting behavior/response is incorrect (e.g., not setting favorited=true and/or not updating favoritesCount/association as required by the RealWorld spec), indicating a spec-level business logic mismatch rather than a routing, auth, or DB runtime failure."
mini_swe_sdk,minimax-m2.5,node,fastify-openapi-clean_architecture-postgres-sequelize,run_0,framework_idiosyncrasy,"Fastify’s default JSON content-type parser rejects requests with Content-Type: application/json when the body is empty, causing POST /api/articles/:slug/favorite to return FST_ERR_CTP_EMPTY_JSON_BODY (400) even though the endpoint should accept an empty body per the test behavior."
mini_swe_sdk,minimax-m2.5,node,express-openapi-clean_architecture-postgres,run_0,database_runtime_error,"The primary failure is runtime Postgres errors from a schema/query mismatch: repository code queries an articles.""tagList"" column that does not exist in the initialized tables, causing 500s on article endpoints and cascading downstream 422s. This is an incorrect DB schema/column definition rather than an auth or spec-level logic issue."
mini_swe_sdk,minimax-m2.5,node,express-openapi-postgres-sequelize,run_1,incorrect_query_logic,"The failing cases are all centered on filtered article listings (by author/tag/favorited) returning incorrect results despite routes existing and basic CRUD working, which points to wrong Sequelize query construction/associations for these filters. The profile endpoint returning 422 in tests is likely a downstream validation/lookup mismatch tied to how usernames/relations are queried rather than an auth or runtime DB crash."
mini_swe_sdk,minimax-m2.5,node,fastify-openapi-clean_architecture-sqlite-sequelize,run_1,framework_idiosyncrasy,"Fastify rejects requests with Content-Type: application/json and an empty body, throwing FST_ERR_CTP_EMPTY_JSON_BODY; the RealWorld favorite endpoint sends an empty JSON body, so the handler/config must allow empty bodies or omit JSON parsing for that route, making this the upstream cause of the 400 failures."
mini_swe_sdk,minimax-m2.5,node,fastify-openapi-postgres-sequelize,run_1,database_runtime_error,"Most failing endpoints crash with SequelizeEagerLoadingError because the same models are associated multiple times without consistent `as` aliases, and the route handlers `include` mismatched aliases (e.g., Comment include `author` vs association alias `User`). This is an ORM runtime/association configuration error that triggers 500s during query execution rather than a spec-level logic mismatch."
mini_swe_sdk,minimax-m2.5,node,fastify-openapi-postgres,run_2,framework_idiosyncrasy,"Fastify’s default JSON content-type parser rejects requests with `Content-Type: application/json` and an empty body, producing `FST_ERR_CTP_EMPTY_JSON_BODY` and 400s on POST /favorite (tests send an empty JSON body). This framework-specific behavior is the upstream cause of the favoriting failures and cascades into downstream favorited-articles assertions."
mini_swe_sdk,minimax-m2.5,node,fastify-openapi-sqlite-sequelize,run_1,framework_idiosyncrasy,"Fastify’s default JSON content-type parser rejects requests with Content-Type: application/json when the body is empty (FST_ERR_CTP_EMPTY_JSON_BODY), causing POST /api/articles/:slug/favorite to return 400 even though the route should accept an empty body per spec."
mini_swe_sdk,minimax-m2.5,node,fastify-openapi-sqlite,run_1,framework_idiosyncrasy,"Fastify rejects requests with Content-Type: application/json and an empty body, causing POST /api/articles/:slug/favorite to return FST_ERR_CTP_EMPTY_JSON_BODY (400) even though the route should accept an empty body. This framework-specific body parser behavior is the upstream cause of the favorite failures and cascades into favorited-article filtering tests."
mini_swe_sdk,minimax-m2.5,node,fastify-openapi-sqlite,run_2,framework_idiosyncrasy,"Fastify's default JSON content-type parser rejects requests with Content-Type: application/json when the body is empty (FST_ERR_CTP_EMPTY_JSON_BODY), causing POST /api/articles/:slug/favorite to return 400 even though the route exists. This framework-specific parsing behavior prevents favoriting and cascades into failures for favorited-articles listing tests."
mini_swe_sdk,minimax-m2.5,node,fastify-openapi-postgres,run_1,framework_idiosyncrasy,"Fastify rejects requests with Content-Type: application/json when the body is empty (FST_ERR_CTP_EMPTY_JSON_BODY), causing POST /api/articles/:slug/favorite to return 400 despite correct routing. This framework-specific parsing behavior prevents favoriting and cascades into failing favorited-articles filtering tests."
mini_swe_sdk,minimax-m2.5,node,fastify-openapi-sqlite-sequelize,run_0,framework_idiosyncrasy,"Fastify is rejecting POST /api/articles/:slug/favorite with Content-Type: application/json when the request body is empty (FST_ERR_CTP_EMPTY_JSON_BODY), but the RealWorld spec sends no body for favorite/unfavorite; this framework-specific parsing behavior causes the primary 400 failures and prevents favoriting state from being created for downstream favorited-by tests."
mini_swe_sdk,minimax-m2.5,node,fastify-openapi-unconstrained,run_2,framework_idiosyncrasy,"Fastify’s default JSON content-type parser rejects requests with Content-Type: application/json when the body is empty (FST_ERR_CTP_EMPTY_JSON_BODY), causing POST /api/articles/:slug/favorite to return 400 even though the route exists and logic is otherwise fine."
mini_swe_sdk,minimax-m2.5,node,fastify-openapi-unconstrained,run_0,framework_idiosyncrasy,"Fastify’s default JSON content-type parser rejects requests with `Content-Type: application/json` and an empty body (FST_ERR_CTP_EMPTY_JSON_BODY), causing the favorite/follow POST endpoints to return 400 when tests send no payload. This framework-specific behavior is the primary upstream failure leading to the observed test failures."
mini_swe_sdk,minimax-m2.5,node,fastify-openapi-unconstrained,run_1,framework_idiosyncrasy,"Fastify rejects requests with Content-Type: application/json when the body is empty (FST_ERR_CTP_EMPTY_JSON_BODY), but the RealWorld favorite endpoint is called with an empty body; this framework-specific parser behavior causes the POST /favorite to 400 despite the route existing."
mini_swe_sdk,minimax-m2.5,node,hono-openapi-clean_architecture-sqlite,run_1,business_logic_defect,"The only failing test is Favorite Article POST returning 200 but with incorrect behavior, which most commonly indicates the handler doesn’t implement the RealWorld spec semantics (e.g., not persisting the favorite relationship and/or not updating/returning favorited and favoritesCount correctly) rather than an auth, query, or framework/runtime crash issue."
mini_swe_sdk,minimax-m2.5,node,hono-openapi-clean_architecture-sqlite-sequelize,run_0,incorrect_query_logic,"The only failing tests are for GET /api/articles?favorited=<username> returning 200 but incorrect results, indicating the favorited filter is not being applied correctly (e.g., missing/incorrect join through the favorites relation or filtering by the wrong user field). Auth and the favorite/unfavorite mutation flow work, so the upstream root cause is the query/filter logic for the favorited parameter."
mini_swe_sdk,minimax-m2.5,node,hono-openapi-clean_architecture-sqlite,run_2,business_logic_defect,"The failing cases are spec-level behaviors (PUT /articles/:slug update semantics and GET /articles/:slug/comments response rules for both authenticated and anonymous users) while the server runs and routes exist, indicating the core issue is incorrect business logic in article update/comment retrieval rather than auth, query execution errors, or framework/runtime problems."
mini_swe_sdk,minimax-m2.5,node,hono-openapi-sqlite,run_2,state_propagation_failure,"The DELETE /favorite endpoint returns 200 but the unfavorite state is not actually persisted/propagated (the user-article favorite row isn’t removed and/or favoritesCount/favorited isn’t recomputed), so subsequent reads still reflect the old favorited state. This is a state mutation persistence issue rather than auth, routing, or framework behavior."
mini_swe_sdk,minimax-m2.5,node,hono-openapi-postgres-sequelize,run_1,business_logic_defect,"The only failing test is the follow profile POST returning an unexpected result, which indicates the follow/unfollow relationship update or the returned `following` flag doesn’t match the RealWorld spec. Auth and routing appear functional (registration/login and authenticated article creation work), so the root cause is incorrect follow-profile business behavior rather than middleware or DB runtime issues."
mini_swe_sdk,minimax-m2.5,node,hono-openapi-postgres-sequelize,run_0,incorrect_query_logic,"All failures are confined to the Articles GET listing variants (author/tag/favorited, with and without auth) while the server boots and routes respond, which most strongly indicates the filtering/join logic for these list queries (especially favorited-by username and optional auth-dependent fields) is implemented incorrectly rather than an auth, framework, or runtime DB crash issue."
mini_swe_sdk,minimax-m2.5,node,hono-openapi-sqlite,run_1,state_propagation_failure,"The failing test is specifically for DELETE /api/articles/:slug/favorite returning 200 but not correctly updating/propagating the favorite state (e.g., favorite row not removed and/or favoritesCount/favorited not updated in the returned article). This indicates a broken state mutation/propagation for the favorite relationship rather than auth, routing, or query execution errors."
mini_swe_sdk,minimax-m2.5,node,koa-openapi-clean_architecture-postgres,run_0,business_logic_defect,"Although routes and auth appear to work in manual curls, the broad, consistent failures across create/list/filter/update/favorite/comment scenarios indicate the implementation’s behavior diverges from the RealWorld spec (e.g., response fields like createdAt/updatedAt, author image defaulting to null, proper pagination counts, and exact filtering semantics), rather than a crash, missing state propagation, or auth/query runtime errors."
mini_swe_sdk,minimax-m2.5,node,koa-openapi-clean_architecture,run_2,state_propagation_failure,"The failing test is GET /api/articles/:slug returning 422, which commonly happens when the slug used by the test is null/undefined because the create-article response didn’t correctly propagate/return the generated slug in the expected shape. This upstream state propagation issue then causes subsequent single-article lookups to hit validation and return 422 despite routes/auth otherwise working."
mini_swe_sdk,minimax-m2.5,node,fastify-openapi-sqlite,run_0,framework_idiosyncrasy,"Fastify’s default JSON content-type parser rejects requests with `Content-Type: application/json` and an empty body, producing `FST_ERR_CTP_EMPTY_JSON_BODY` and a 400 on the favorite endpoint where the spec sends an empty body. This framework-specific behavior (not business logic) is the primary upstream cause of the observed failures."
mini_swe_sdk,minimax-m2.5,node,hono-openapi-sqlite-sequelize,run_1,incorrect_query_logic,"The Articles-by-Tag handler builds a tag filter using the Postgres JSON containment operator (@>) against the tagList field, but the required stack is SQLite+Sequelize where @> is unsupported. This wrong filtering/query construction causes SequelizeDatabaseError (SQLITE_ERROR: unrecognized token: ""@"") and 500s on tag-filtered article listing."
mini_swe_sdk,minimax-m2.5,node,koa-openapi-clean_architecture-postgres,run_1,incorrect_query_logic,"Multiple article endpoints (list by author/tag/favorited, single by slug, update, favorite/unfavorite) fail while the server runs and auth appears to work, pointing to broken SQL in the ArticleRepository for joins/filters and derived fields (e.g., favoritesCount/favorited) rather than routing or token handling."
mini_swe_sdk,minimax-m2.5,node,koa-openapi-clean_architecture-postgres-sequelize,run_1,state_propagation_failure,"The favorite endpoint returns 200 but the resulting article state is inconsistent (e.g., favorited=true while favoritesCount remains 0), indicating the favorite relationship/count mutation isn’t being persisted or reflected in the response. This is a state update/propagation issue rather than routing, auth, or query filtering."
mini_swe_sdk,minimax-m2.5,node,koa-openapi-clean_architecture-sqlite-sequelize,run_2,database_runtime_error,"Favoriting fails with a SQLite runtime error (""table Favorites has no column named id""), indicating the Sequelize join-table/model schema is misdefined or not synced as expected, causing DB operations to crash despite routes and auth working."
mini_swe_sdk,minimax-m2.5,node,koa-openapi-postgres-sequelize,run_0,incorrect_query_logic,"All failures are confined to the GET /articles listing variants (including author/tag/favorited filters and auth-conditioned fields), while the server boots and other basic endpoints work, indicating the articles retrieval/filtering query logic (joins/where clauses/pagination) is implemented incorrectly rather than an auth, framework, or runtime DB crash issue."
mini_swe_sdk,minimax-m2.5,node,koa-openapi-postgres-sequelize,run_1,incorrect_query_logic,"All failures are confined to the GET /api/articles listing variants (author/tag/favorited, with and without auth) while the server boots and routes respond, indicating the core issue is the article retrieval/filtering query and/or includes/joins used to compute fields like favorited/favoritesCount rather than auth or runtime DB crashes."
mini_swe_sdk,minimax-m2.5,node,koa-openapi-sqlite,run_0,incorrect_query_logic,"The consistent 500s on “GET articles favorited by username” point to a broken favorites-by-user retrieval query (likely an incorrect join/filter against the favorites table or wrong column names/types in SQLite). Authenticated endpoints like /api/user and favoriting an article work, so the upstream issue is the query logic for the favorited filter rather than auth or framework behavior."
mini_swe_sdk,minimax-m2.5,node,koa-openapi-clean_architecture-sqlite,run_2,state_propagation_failure,"The DELETE /articles/:slug/favorite endpoint returns 200 but does not correctly persist/propagate the unfavorite state change (e.g., favorite relationship not removed and/or favoritesCount/favorited not updated), causing the behavior mismatch despite routes and auth working."
