agent,model,runtime,task,run_id,subcategory,reasoning
mini_swe_sdk,gpt-5.4,node,fastify-openapi-sqlite-sequelize,run_1,framework_idiosyncrasy,"Fastify rejects requests with an empty JSON body by default (e.g., POST /api/articles/:slug/favorite), returning 400 before the handler runs; this explains the widespread 400s on favorite/unfavorite while other endpoints still return 200."
mini_swe_sdk,gpt-5.4,node,fastify-openapi-clean_architecture-sqlite,run_2,framework_idiosyncrasy,"Fastify rejects requests with an empty JSON body when the client sends Content-Type: application/json (common for favorite/unfavorite and follow/unfollow endpoints), producing 400 errors even though routes and auth exist. This framework-specific empty-body parsing behavior causes the observed 400s on those toggle endpoints."
mini_swe_sdk,gpt-5.4,node,fastify-openapi-unconstrained,run_0,framework_idiosyncrasy,"Fastify rejects requests with an empty JSON body when the client sends Content-Type: application/json, returning 400 (e.g., on POST /api/articles/:slug/favorite). This framework-specific behavior causes the favorite endpoint to fail before business/query logic runs, cascading into failures for favorited-articles listing tests."
mini_swe_sdk,gpt-5.4,node,express-openapi-sqlite,run_1,incorrect_query_logic,"All failing tests are variants of GET /api/articles list with different filters (author, tag, favorited, auth-conditional fields), while the server starts and core CRUD works. This points to the article listing SQL/filter/pagination logic (including joins for tags/favorites and computing favorited/following) being implemented incorrectly rather than an auth or runtime DB crash."
mini_swe_sdk,gpt-5.4,node,fastify-openapi-sqlite,run_2,framework_idiosyncrasy,"Fastify rejects requests with an empty JSON body by default; the RealWorld favorite/unfavorite and follow/unfollow endpoints are typically called with Content-Type: application/json and no body, which triggers Fastify's empty-body parsing error and results in 400 responses despite routes existing."
mini_swe_sdk,gpt-5.4,node,fastify-openapi-clean_architecture-sqlite-sequelize,run_1,framework_idiosyncrasy,"Fastify rejects requests with an empty JSON body when the Content-Type is application/json, which commonly affects RealWorld favorite/unfavorite and follow/unfollow endpoints that send no body; this results in 400 responses despite routes existing and auth being optional/valid."
mini_swe_sdk,gpt-5.4,node,fastify-openapi-clean_architecture,run_0,framework_idiosyncrasy,"Fastify rejects requests with an empty JSON body when Content-Type is application/json, which commonly causes POST /articles/:slug/favorite to return 400 (FST_ERR_CTP_EMPTY_JSON_BODY). This upstream framework behavior then prevents favorites from being created, cascading into failures when listing articles favorited by a user."
mini_swe_sdk,gpt-5.4,node,fastify-openapi-sqlite-sequelize,run_0,framework_idiosyncrasy,"Fastify rejects requests with an empty JSON body by default (FST_ERR_CTP_EMPTY_JSON_BODY), which commonly causes POST/DELETE favorite endpoints to return 400 even though the route exists and auth is fine. This upstream framework behavior explains the widespread 400s on POST /favorite while other GET endpoints still return 200."
mini_swe_sdk,gpt-5.4,node,express-openapi-clean_architecture-postgres,run_0,incorrect_query_logic,"All failures are confined to the GET /articles listing variants (base list, with auth, and filtered by author/tag/favorited), which strongly indicates the list/filter SQL logic is incorrect (e.g., wrong joins/where clauses or mishandling favorited/author/tag filters) rather than routing/auth/startup issues."
mini_swe_sdk,gpt-5.4,node,fastify-openapi-clean_architecture-postgres,run_1,framework_idiosyncrasy,"Fastify rejects requests with an empty JSON body when the Content-Type is application/json, returning 422 (e.g., FST_ERR_CTP_EMPTY_JSON_BODY). The RealWorld favorite/unfavorite and follow/unfollow endpoints send no body, so without configuring Fastify to accept empty JSON bodies these routes consistently fail with 422 despite existing and otherwise correct routing."
mini_swe_sdk,gpt-5.4,node,fastify-openapi-clean_architecture,run_1,framework_idiosyncrasy,"Fastify rejects requests with an empty JSON body when a JSON content-type is sent, which commonly causes POST /articles/:slug/favorite to return 400 (FST_ERR_CTP_EMPTY_JSON_BODY). This upstream framework behavior then cascades into failures for favoriting state and favorited-by-username listings."
mini_swe_sdk,gpt-5.4,node,express-openapi-clean_architecture,run_0,incorrect_query_logic,"All failures are confined to GET article listing variants (base list plus author/tag/favorited filters, with/without auth), which points to incorrect filtering/pagination/join logic in the articles query path rather than routing, server startup, or token parsing. The implementation likely doesn’t apply RealWorld-spec filters (especially favorited-by-username and auth-sensitive fields) correctly, causing wrong result sets while still returning 200."
mini_swe_sdk,gpt-5.4,node,fastify-openapi-postgres-sequelize,run_1,framework_idiosyncrasy,"Fastify rejects requests with an empty JSON body by default (e.g., POST/DELETE favorite and follow endpoints), which leads to 400 responses even though routes exist and auth may be correct. This framework-specific content-type/body parsing behavior is the upstream cause of the widespread 400s on favorite/unfavorite and follow/unfollow tests."
mini_swe_sdk,gpt-5.4,node,fastify-openapi-clean_architecture-postgres-sequelize,run_2,business_logic_defect,"Favorite/unfavorite article and unfollow profile return 422 despite routes existing, indicating the relationship/state-change logic (e.g., toggling favorites/follows and computing favorited/following flags) is implemented incorrectly relative to the RealWorld spec rather than an auth, query, or framework/runtime failure."
mini_swe_sdk,gpt-5.4,node,express-openapi-sqlite,run_2,incorrect_query_logic,"All failures are confined to Articles GET variants involving author/tag/favorited filters, which points to the SQL used to build the articles list (joins/WHERE clauses for tag, author, and favorited-by) returning incorrect rows or counts. The server starts and routes exist, so the upstream issue is the filtering/query construction rather than auth, state propagation, or a runtime DB crash."
mini_swe_sdk,gpt-5.4,node,fastify-openapi-postgres,run_2,incorrect_query_logic,"Favorites/unfavorites and unfollow return 400 while routes exist and the server runs, indicating the relationship lookup/mutation queries (favorites/follows join tables or slug/username resolution conditions) are implemented incorrectly, which also explains the failing favorited-articles listing behavior."
mini_swe_sdk,gpt-5.4,node,fastify-openapi-clean_architecture-sqlite-sequelize,run_2,framework_idiosyncrasy,"The primary failure is Fastify-specific request handling: the favorite/unfavorite endpoints are POSTs with no JSON body, and Fastify commonly rejects requests with an empty JSON body (e.g., FST_ERR_CTP_EMPTY_JSON_BODY), leading to 400 responses before business/query logic runs. The downstream failures in favorited-article listing are cascading from the inability to successfully create favorites."
mini_swe_sdk,gpt-5.4,node,fastify-openapi-clean_architecture-sqlite,run_0,incorrect_query_logic,"The failing endpoints are all centered on favorites/follows persistence and retrieval: POST/DELETE favorite and DELETE unfollow return 500 (likely due to bad SQL for inserting/deleting join-table rows or constraint handling), and the favorited-by-username article listing returns 200 but fails assertions (indicating the filtering/join logic for favorited articles is incorrect). Auth and routing are working, so the upstream root cause is incorrect query/join logic around favorites/follows."
mini_swe_sdk,gpt-5.4,node,fastify-openapi-postgres,run_0,framework_idiosyncrasy,"Fastify returns 400 on POST/DELETE requests with an empty JSON body unless configured to accept them; RealWorld favorite/unfavorite and follow/unfollow endpoints send no body, so the framework rejects the request before business logic runs, causing widespread 400 failures."
mini_swe_sdk,gpt-5.4,node,fastify-openapi-sqlite,run_0,framework_idiosyncrasy,"Fastify rejects requests with an empty JSON body by default (FST_ERR_CTP_EMPTY_JSON_BODY), which causes the POST/DELETE favorite and follow/unfollow endpoints—typically sent with Content-Type: application/json and no body—to return 400s even though the routes exist."
mini_swe_sdk,gpt-5.4,uv,aiohttp-openapi-clean_architecture-postgres-sqlalchemy,run_2,database_runtime_error,"The primary failure is a runtime crash from incorrect async SQLAlchemy usage, evidenced by sqlalchemy.exc.MissingGreenlet (IO/lazy-loading occurring outside greenlet_spawn/async context). This causes 500s across endpoints even though routes and auth exist."
mini_swe_sdk,gpt-5.4,node,hono-openapi-clean_architecture,run_1,incorrect_query_logic,"All failing tests are GET /articles list variants (with tag/author/favorited filters and auth), indicating the list-building/filtering logic is incorrect (e.g., returning full articles including body and/or mishandling filter parameters) rather than an auth, state propagation, or runtime DB/framework issue."
mini_swe_sdk,gpt-5.4,node,hono-openapi-clean_architecture-postgres,run_0,incorrect_query_logic,"The 500s are caused by ArticleRepository.listArticles building a parameterized PostgreSQL query where optional filters leave an untyped placeholder (e.g., $1 used with NULL/unknown), triggering ""could not determine data type of parameter $1"". Auth and routing work; the upstream failure is incorrect SQL parameterization/casting for filtered article listing."
mini_swe_sdk,gpt-5.4,node,fastify-openapi-unconstrained,run_1,business_logic_defect,"The favorite/unfavorite endpoints are implemented but return incorrect HTTP semantics (e.g., 422 for missing articles and likely wrong favorited/favoritesCount behavior), causing downstream failures in favorited-by-username feeds despite routes existing and server running."
mini_swe_sdk,gpt-5.4,uv,aiohttp-openapi-unconstrained,run_0,incorrect_query_logic,"All failures are confined to the /api/articles listing variants (author/tag/favorited and auth-dependent fields), while the server starts and CRUD smoke tests pass. This points to incorrect filtering/selection logic in the article listing implementation rather than auth, state propagation, or a runtime DB/framework issue."
mini_swe_sdk,gpt-5.4,node,koa-openapi-clean_architecture-postgres,run_1,database_runtime_error,"All article listing endpoints consistently return 500 while the server starts and routes exist, which most plausibly indicates a runtime SQL/DB-layer failure during the list query (e.g., referencing missing tables/columns like favorites_count/favorited/following or a bad SQL expression) rather than an auth or spec-level behavior issue."
mini_swe_sdk,gpt-5.4,uv,aiohttp-openapi-postgres,run_1,incorrect_query_logic,"All failing tests are for GET /articles variants (base list plus author/tag/favorited filters and auth-dependent fields), while the server boots and routes respond, indicating the primary issue is the article listing SQL/ORM filtering/join logic rather than auth, state propagation, or runtime DB crashes."
mini_swe_sdk,gpt-5.4,node,hono-openapi-clean_architecture,run_2,business_logic_defect,"The primary failure is that the GET /articles list endpoints serialize articles with the full `body` field included, which violates the RealWorld API spec for list views. Auth and routing work, but the response shape/business serialization logic is incorrect across multiple list variants."
mini_swe_sdk,gpt-5.4,uv,aiohttp-openapi-unconstrained,run_1,incorrect_query_logic,"All failures are confined to the GET /api/articles listing variants (author/tag/favorited, with/without auth) while the server is up and routes respond, indicating the article retrieval/filtering logic is implemented incorrectly. The logs show no auth errors or DB runtime exceptions, pointing to broken filtering/pagination/query conditions as the upstream cause."
mini_swe_sdk,gpt-5.4,uv,aiohttp-openapi-sqlite,run_2,incorrect_query_logic,"All reported failures are confined to GET /api/articles list variants (author/tag/favorited, with/without auth) while core CRUD flows work, pointing to broken list/filter SQL construction (joins/where clauses for tags, author username, and favorited-by user) rather than auth, state propagation, or runtime DB errors."
mini_swe_sdk,gpt-5.4,uv,aiohttp-openapi-clean_architecture-sqlite,run_1,incorrect_query_logic,"All failing tests are confined to GET /api/articles variants (plain, auth, author, tag, favorited), while the server starts and auth-related logs show only non-fatal JWT key-length warnings. This points to broken article listing/filtering SQL/ORM logic (joins/where clauses for author/tag/favorited and possibly pagination), not routing, auth gating, or runtime DB crashes."
mini_swe_sdk,gpt-5.4,node,fastify-openapi-postgres-sequelize,run_2,business_logic_defect,"Favorites/unfavorites and unfollow endpoints are implemented but return 400s, indicating the handlers’ relationship/idempotency logic (e.g., how existing favorites/follows are checked/created/deleted and what status codes are returned) doesn’t match the RealWorld spec. Auth and routing are working (health-check 200, GET endpoints return 200), so the primary issue is spec-level behavior in these operations rather than auth, queries, or DB runtime failures."
mini_swe_sdk,gpt-5.4,node,fastify-openapi-unconstrained,run_2,database_runtime_error,"The favorite endpoint returns 500 due to a runtime exception during response serialization: articles store favoritedBy as a Set, which is not JSON-serializable and causes Fastify/JSON.stringify to throw. This also breaks favorited-by-username filtering because the favorites state is stored in non-serializable/mismatched structures."
mini_swe_sdk,gpt-5.4,uv,aiohttp-openapi-sqlite-sqlalchemy,run_2,state_propagation_failure,"Only favorite/unfavorite tests fail while routes and auth otherwise work, indicating the favorite relationship or derived fields (favorited/favoritesCount) are not being persisted or reflected in subsequent responses. This is a state mutation/propagation issue (e.g., not committing the favorites join-table change or not recomputing counts), not an auth or query filtering failure."
mini_swe_sdk,gpt-5.4,uv,django-openapi-clean_architecture,run_2,incorrect_query_logic,"All failing tests target GET /api/articles listing with query params (author, tag, favorited) while auth endpoints and article CRUD/favorite actions return 200/201, indicating authentication and state creation work. The list endpoint is returning incorrect/empty results for these filters, pointing to broken filtering/join logic in the article listing query implementation."
mini_swe_sdk,gpt-5.4,node,koa-openapi-sqlite-sequelize,run_0,database_runtime_error,"The upstream failure is the SQLite/Sequelize runtime setup: Sequelize expects the native sqlite3 driver API, but the project lacked sqlite3 and attempted an incompatible better-sqlite3 wrapper, causing schema/query execution errors. These DB driver/runtime issues prevent correct persistence and cascade into 422/401/500 behaviors across endpoints."
mini_swe_sdk,gpt-5.4,uv,django-openapi-postgres-sqlalchemy,run_2,database_runtime_error,"Comment endpoints crash with SQLAlchemy InvalidRequestError because the code executes a query that includes joined eager loads against collections and then calls scalar_one_or_none() without first calling Result.unique(), which is required to de-duplicate rows produced by the join."
mini_swe_sdk,gpt-5.4,uv,django-openapi-clean_architecture-sqlite,run_2,incorrect_query_logic,"All article list endpoints return 200 but fail specifically on filtering by author/tag/favorited and on auth-dependent fields, indicating the list query/filter construction (joins/where clauses for tags, author username, and favorited-by user) is incorrect rather than an auth or runtime DB failure."
mini_swe_sdk,gpt-5.4,uv,django-openapi-clean_architecture-sqlite,run_1,incorrect_query_logic,"All relevant endpoints return 200 and auth appears to work (/api/user succeeds), but article list responses are incorrect specifically when applying query params (author/tag/favorited), indicating the filtering/join logic for these parameters is implemented wrong or not applied, rather than a routing/auth/framework/runtime DB crash issue."
mini_swe_sdk,gpt-5.4,uv,django-openapi-sqlite,run_1,incorrect_query_logic,"All /api/articles list endpoints return 200 but fail for every filter variant (author, tag, favorited) both with and without auth, indicating the queryset construction/filters are not being applied correctly (or are applied against the wrong relations/fields), rather than an auth or runtime DB crash issue."
mini_swe_sdk,gpt-5.4,uv,django-openapi-sqlite-sqlalchemy,run_1,database_runtime_error,"The primary failure is a SQLAlchemy runtime exception (StaleDataError) during flush when deleting from the article_tags association table, indicating incorrect ORM relationship/association cleanup or stale session state rather than an auth or query-filtering bug."
mini_swe_sdk,gpt-5.4,uv,django-openapi-sqlite-sqlalchemy,run_2,database_runtime_error,"The comments endpoints crash at runtime with SQLAlchemy InvalidRequestError because the code calls scalar_one_or_none()/scalars() on a Result containing joined eager-loaded collections without first invoking unique(), which is an ORM API usage requirement rather than a business/query-spec issue."
mini_swe_sdk,gpt-5.4,uv,django-openapi-sqlite-sqlalchemy,run_0,incorrect_query_logic,"All failing tests are for GET /api/articles list variants (author/tag/favorited, with/without auth) while the endpoints return 200, indicating the list query/filtering/count logic is wrong (e.g., missing/incorrect joins or filters) rather than routing, auth, or DB runtime crashes."
mini_swe_sdk,gpt-5.4,node,hono-openapi-postgres-sequelize,run_2,incorrect_query_logic,"The 500s are caused by Sequelize generating invalid SQL for the articles list count query, referencing a non-existent join alias (e.g., DISTINCT(""Article->Article"".""id"")), which triggers Postgres 42P01 missing FROM-clause entry errors. Auth and routing work; the upstream failure is the incorrect include/alias/count query construction."
mini_swe_sdk,gpt-5.4,uv,flask-openapi-clean_architecture-sqlite,run_2,incorrect_query_logic,"POST /api/articles/:slug/comments crashes because comment_service.serialize_comment receives row=None, meaning the comment creation path fails to return/fetch the inserted comment row (e.g., INSERT not followed by a correct SELECT/RETURNING). Auth and routing work, but the comment insert/retrieval query logic is wrong, leading to a None row and a 500."
mini_swe_sdk,gpt-5.4,uv,flask-openapi-postgres-sqlalchemy,run_1,incorrect_query_logic,"All article listing endpoints return 200 (with and without auth), but every test involving article list filtering (author/tag/favorited) fails, indicating the SQLAlchemy query construction for these filters/pagination/favorited joins is incorrect rather than an auth, state propagation, or runtime DB crash issue."
mini_swe_sdk,gpt-5.4,uv,django-openapi-unconstrained,run_2,incorrect_query_logic,"The /api/articles?tag=... handler filters tags using a JSONField `contains` lookup, which is not supported by the configured DB backend (SQLite), causing a 500 NotSupportedError. Auth and routing work; the failure is in the tag-filter query implementation."
mini_swe_sdk,gpt-5.4,uv,django-openapi-unconstrained,run_1,incorrect_query_logic,"All failing tests are for /api/articles listing with filters (author/tag/favorited) while auth endpoints succeed and responses are 200, indicating the handler’s filtering/pagination logic is wrong (e.g., not applying query params correctly or returning incorrect article sets/counts) rather than an auth or runtime DB issue."
mini_swe_sdk,gpt-5.4,uv,flask-openapi-postgres-sqlalchemy,run_2,framework_idiosyncrasy,"Flask dispatches URL parameters by keyword, and the DELETE /api/articles/<slug>/comments/<comment_id> route passes comment_id into the handler, but the view function signature doesn’t accept that keyword, causing a TypeError and 500 responses. This is a route-to-handler parameter wiring mismatch specific to the framework’s routing behavior."
mini_swe_sdk,gpt-5.4,uv,flask-openapi-postgres,run_1,business_logic_defect,"The DELETE comment endpoint is wired with a route parameter named comment_id, but the handler function signature doesn’t accept that keyword, causing a TypeError and 500. This is a handler/route contract mismatch (spec-level behavior), not an auth, query, or DB runtime issue."
mini_swe_sdk,gpt-5.4,uv,fastapi-openapi-clean_architecture-postgres-sqlalchemy,run_2,incorrect_query_logic,"All failing tests are for /api/articles listing variants (author/tag/favorited and auth vs anon) while the endpoints return 200, indicating the handlers run but apply the wrong filtering/join logic (especially favorited/author/tag) or compute favorited/favoritesCount incorrectly. This points to flawed SQLAlchemy query construction rather than auth, routing, or runtime DB crashes."
mini_swe_sdk,gpt-5.4,uv,fastapi-openapi-sqlite-sqlalchemy,run_1,incorrect_query_logic,"All /api/articles list endpoints return 200 but fail specifically on author/tag/favorited variants, indicating the filtering joins/conditions (especially favorited-by-user and tag filtering) are implemented incorrectly or not applied as specified, rather than an auth, state propagation, or runtime DB crash issue."
mini_swe_sdk,gpt-5.4,uv,fastapi-openapi-clean_architecture-sqlite-sqlalchemy,run_0,auth_misconfiguration,"User registration crashes in the password hashing layer (passlib/bcrypt ValueError for >72-byte passwords), preventing account creation and valid token issuance; as a result, login fails and all protected endpoints cascade into 401 Unauthorized."
mini_swe_sdk,gpt-5.4,uv,flask-openapi-postgres-sqlalchemy,run_0,incorrect_query_logic,"All /api/articles listing endpoints return 200 but fail assertions specifically around author/tag/favorited filtering and list contents/counts, indicating the SQLAlchemy query construction for these filters/pagination is incorrect rather than routing/auth/runtime failures."
mini_swe_sdk,gpt-5.4,node,fastify-openapi-clean_architecture-postgres-sequelize,run_1,business_logic_defect,"The failing endpoints are returning 400 on valid favorite/unfavorite and unfollow state transitions, indicating the handlers/services are enforcing incorrect validation or state-change rules rather than failing auth, routing, or database execution."
mini_swe_sdk,gpt-5.4,uv,flask-openapi-sqlite,run_0,incorrect_query_logic,"The dominant failures are all in GET /api/articles list/filter scenarios (author/tag/favorited, with and without auth), indicating the filtering/join logic for article retrieval is incorrect even though routes exist and auth generally works. The DELETE comment NameError is a separate bug, but it doesn’t explain the systematic article list/filter test failures."
mini_swe_sdk,gpt-5.4,uv,fastapi-openapi-clean_architecture-sqlite,run_1,state_propagation_failure,"The favorite/unfavorite endpoints return 200 but tests fail specifically on favorited/favoritesCount behavior, indicating the favorite relation or derived counters/flags are not being persisted or reflected in subsequent reads (stale state after mutation) rather than auth, routing, or query crashes."
mini_swe_sdk,gpt-5.4,uv,flask-openapi-sqlite,run_1,incorrect_query_logic,"All /api/articles list variants return 200 but tests for global/author/tag/favorited listings still fail, indicating the list endpoint’s filtering/pagination/favorited joins/counts are implemented incorrectly (returning wrong sets or articleCount) rather than routes/auth failing or DB crashing."
mini_swe_sdk,gpt-5.4,uv,flask-openapi-unconstrained,run_1,incorrect_query_logic,"All /api/articles list endpoints return 200 (with and without auth), but the tests for author/tag/favorited filtering still fail, indicating the listing implementation is not applying the required query/filter semantics (and/or pagination/articleCount) correctly rather than an auth or runtime/database crash issue."
mini_swe_sdk,gpt-5.4,uv,fastapi-openapi-clean_architecture-sqlite-sqlalchemy,run_1,business_logic_defect,"The Update User handler unconditionally hashes the incoming password field, but the spec allows password to be omitted on update; when it is null/absent the code calls .encode() on None and crashes. This is a business-rule mismatch in optional field handling rather than an auth, query, or DB runtime issue."
mini_swe_sdk,gpt-5.4,node,fastify-openapi-clean_architecture-sqlite-sequelize,run_0,business_logic_defect,"The failing endpoints are state-changing relationship operations (favorite/unfavorite, follow/unfollow) returning 400 or incorrect results while core auth and CRUD flows work, indicating the implementation’s favorites/follows business rules (validation/state updates/response shaping) don’t match the spec rather than a routing, auth, or DB runtime issue."
mini_swe_sdk,gpt-5.4,uv,flask-openapi-unconstrained,run_0,incorrect_query_logic,"All failing tests are for GET /api/articles listing with filters (author/tag/favorited) and both authed/unauthed variants return 200, indicating routing and auth are functioning but the filtering/pagination/favorited query logic is incorrect (e.g., filters ignored or computed fields like favorited/favoritesCount wrong)."
mini_swe_sdk,gpt-5.4,node,koa-openapi-clean_architecture-postgres,run_0,incorrect_query_logic,"All variants of the Articles listing endpoints return 500 while the server boots cleanly, pointing to a bug in the articles list/filter SQL construction (e.g., malformed WHERE/JOIN for author/tag/favorited or bad parameter binding) rather than auth or routing. This upstream query logic error would consistently crash every GET /articles variant."
mini_swe_sdk,gpt-5.4,node,express-openapi-sqlite,run_0,incorrect_query_logic,"All failing tests are GET /articles listing variants (all, by author, by tag, favorited) while the server starts and routes exist, pointing to incorrect SQL filtering/join logic for these query parameters rather than auth, state propagation, or runtime DB errors."
