agent,model,runtime,task,run_id,subcategory,reasoning
mini_swe_sdk,gpt-5-mini,node,express-openapi-clean_architecture,run_2,auth_misconfiguration,"Most endpoints that require authentication consistently return 401, indicating the auth middleware is rejecting valid tokens. The likely upstream cause is incorrect Authorization header handling (e.g., expecting a different scheme like ""Token"" vs ""Bearer"" or parsing/verification/user lookup mismatch), which then cascades into failures for all protected routes."
mini_swe_sdk,gpt-5-mini,node,express-openapi-clean_architecture-postgres,run_0,business_logic_defect,"The failing behavior is that the Update Article (PUT) endpoint returns 422 for valid update payloads, indicating the route exists and the server runs but the handler’s validation/update rules don’t match the RealWorld spec (e.g., requiring fields that should be optional or mis-parsing the expected {""article"": {...}} body)."
mini_swe_sdk,gpt-5-mini,node,express-openapi-clean_architecture-postgres-sequelize,run_2,business_logic_defect,"Most failing endpoints return 422 where the spec expects 200/201, indicating the request/response validation and status-code behavior is implemented incorrectly (e.g., treating valid payloads as invalid or returning 422 for missing resources) rather than routes/auth/DB runtime failures."
mini_swe_sdk,gpt-5-mini,node,express-openapi-clean_architecture-sqlite-sequelize,run_0,database_runtime_error,"The primary failure is a runtime crash in Sequelize’s SQLite dialect during Tag.findOrCreate/Tag.create while inserting tags, which prevents article creation and cascades into slug-dependent endpoints returning 422/500. This is an ORM/DB API/runtime issue rather than a spec-level logic or auth problem."
mini_swe_sdk,gpt-5-mini,node,express-openapi-postgres,run_2,incorrect_query_logic,"The API consistently 500s with Postgres error 42883 ""operator does not exist: text = integer"", which indicates the code is building SQL that compares TEXT fields (e.g., username/slug/tag) against integer parameters (IDs) or otherwise binds the wrong parameter types. Auth/routes are present and the server runs, but the query/filter/update SQL is type-mismatched, causing runtime failures across article listing and update endpoints."
mini_swe_sdk,gpt-5-mini,node,express-openapi-sqlite,run_0,incorrect_query_logic,"The failing cases are all article listing/feed variants where routes exist and the server runs, but filtering/aggregation semantics (author/tag/favorited, feed selection, and related counts/flags) don’t match the RealWorld spec, leading to wrong responses (assertion failures) and a 422 on /articles/feed. This points to incorrect SQL/query construction and result shaping rather than auth, framework, or DB runtime crashes."
mini_swe_sdk,gpt-5-mini,node,express-openapi-sqlite,run_1,database_runtime_error,"The article listing endpoints crash at runtime with SQLITE_ERROR because the generated SQL references a non-existent column (f.user_id) in the favorites join/subquery. This is a database execution failure (invalid column), causing 500s for tag/favorited filters."
mini_swe_sdk,gpt-5-mini,node,express-openapi-sqlite-sequelize,run_2,incorrect_query_logic,"All failures are confined to Articles GET list variants (author/tag/favorited, with/without auth), which strongly indicates the list endpoint’s filtering/join logic is wrong (e.g., missing/incorrect includes/where clauses for author, tags, or favorites) rather than auth, state propagation, or runtime DB errors."
mini_swe_sdk,gpt-5-mini,node,express-openapi-unconstrained,run_0,incorrect_query_logic,"The GET handlers for articles and comments are implemented as stubs that always return empty arrays/placeholder objects and ignore required filtering (author/tag/favorited), pagination, and proper retrieval by slug. Auth and routing exist, but the data/query behavior is fundamentally incorrect, causing all GET-related tests to fail."
mini_swe_sdk,gpt-5-mini,node,express-openapi-unconstrained,run_2,incorrect_query_logic,"All failing tests target GET /api/articles variants (author/tag/favorited, with/without auth), indicating the listing/filtering logic is wrong. The implementation stores a single global `favorited` flag on the article and does not correctly filter by `favorited` username or compute per-request `favorited/following` fields, so the returned article list does not match spec expectations."
mini_swe_sdk,gpt-5-mini,node,fastify-openapi-clean_architecture,run_0,framework_idiosyncrasy,"Fastify rejects requests with an empty JSON body by default, returning 400 (e.g., FST_ERR_CTP_EMPTY_JSON_BODY). The failing endpoints (favorite/unfavorite article and unfollow profile) are spec’d to accept no body, so this framework behavior causes the 400s and cascades into favorited-articles test failures."
mini_swe_sdk,gpt-5-mini,node,fastify-openapi-clean_architecture,run_1,framework_idiosyncrasy,"The primary failures are 400 responses on Fastify state-changing endpoints (favorite/unfavorite, unfollow), which commonly occur when Fastify rejects requests with an empty JSON body (e.g., FST_ERR_CTP_EMPTY_JSON_BODY) unless content-type/body handling is configured; this upstream request-parsing behavior then prevents the business logic from running and cascades into downstream favorite-related listing assertions."
mini_swe_sdk,gpt-5-mini,node,fastify-openapi-clean_architecture,run_2,framework_idiosyncrasy,"Fastify rejects requests with an empty JSON body by default (FST_ERR_CTP_EMPTY_JSON_BODY), which breaks the RealWorld favorite/unfavorite and follow/unfollow endpoints that send no body; this causes 400 responses and prevents the expected state transitions, cascading into failures for favorited-articles listing."
mini_swe_sdk,gpt-5-mini,node,fastify-openapi-clean_architecture-postgres-sequelize,run_0,framework_idiosyncrasy,"Fastify is rejecting requests with `Content-Type: application/json` but no body, throwing `FST_ERR_CTP_EMPTY_JSON_BODY` and returning 400 on DELETE/POST endpoints that should accept an empty body (e.g., unfollow/unfavorite). This framework-specific content-type parsing behavior is the upstream cause of the failing tests."
mini_swe_sdk,gpt-5-mini,node,fastify-openapi-clean_architecture-postgres-sequelize,run_2,framework_idiosyncrasy,"The failing endpoints are Fastify POST/DELETE routes (favorite/unfavorite, unfollow) returning 400 instead of the expected 200, which commonly happens in Fastify when it rejects requests with an empty JSON body (e.g., FST_ERR_CTP_EMPTY_JSON_BODY) unless content-type/body handling is configured correctly. Since routes exist and the server runs, the primary issue is Fastify-specific request parsing/validation behavior on bodyless requests."
mini_swe_sdk,gpt-5-mini,node,fastify-openapi-clean_architecture-sqlite-sequelize,run_2,framework_idiosyncrasy,"Fastify rejects requests with an empty JSON body by default, and RealWorld favorite/unfavorite and follow/unfollow endpoints are typically called with Content-Type: application/json and no body; this triggers 400 errors even though routes exist. The downstream favorited-articles checks then fail because the state-changing favorite/unfavorite operations never succeed."
mini_swe_sdk,gpt-5-mini,node,fastify-openapi-postgres,run_0,framework_idiosyncrasy,"Fastify rejects requests with Content-Type: application/json when the body is empty, throwing FST_ERR_CTP_EMPTY_JSON_BODY; the favorite endpoint expects a bodyless POST per spec/tests, so the framework’s default JSON parser behavior (or route schema/body requirement) causes the 400 failures."
